Keyword,Total Term Frequency,Total Document Frequency,DoV,DoD,quadrant_DoV,quadrant_DoD
samantha,7,6,2.954789241587541e-05,0.005263157894736842,Weak,Weak
dubai,7,5,2.954789241587541e-05,0.0043859649122807015,Weak,Weak
doctorado,7,6,2.954789241587541e-05,0.005263157894736842,Weak,Weak
horaria,7,7,2.954789241587541e-05,0.0061403508771929825,Weak,Weak
incognita,7,5,2.954789241587541e-05,0.0043859649122807015,Weak,Weak
phd,7,5,2.954789241587541e-05,0.0043859649122807015,Weak,Weak
us,33,24,2.9539898179861425e-05,0.004301507534484711,Weak,Weak
111,34,32,2.953723259584666e-05,0.006283976671638399,Weak,Weak
2026,90,63,2.9463446019891833e-05,0.0042125595445521346,Weak,Weak
cartucho,98,83,2.9278653391424726e-05,0.005318533680358651,Weak,Weak
maritima,87,70,2.927705924999183e-05,0.0049330908191892,Weak,Weak
referendum,11,10,2.925263293612037e-05,0.005354349546366329,Weak,Weak
auge,42,40,2.9221674173261257e-05,0.00599770339410981,Weak,Weak
derrumbe,36,25,2.9186996283811822e-05,0.004013571341914576,Weak,Weak
localacer,27,22,2.9179632376585717e-05,0.004759594546161195,Weak,Weak
milla,75,49,2.9159961021349434e-05,0.0040086726299364914,Weak,Weak
distribuidora,58,46,2.915391213583103e-05,0.005219787277069335,Weak,Weak
superviviente,11,9,2.9109644512481242e-05,0.004573110505313895,Weak,Weak
revisado,48,39,2.9092155593576423e-05,0.004982267277074984,Weak,Weak
cai,14,10,2.9087585128316257e-05,0.004003267973856209,Weak,Weak
jalisco,65,48,2.9081474295944982e-05,0.004639927680144765,Weak,Weak
anegado,26,18,2.905570732757861e-05,0.004026533232233394,Weak,Weak
eloy,116,81,2.8995345761641902e-05,0.004237531258757372,Weak,Weak
evacuacion,99,74,2.898871391358967e-05,0.004497597850506374,Weak,Weak
14000,20,20,2.8975653416119375e-05,0.006303357986172205,Weak,Weak
credencial,86,57,2.896414122432445e-05,0.004142986210999431,Weak,Weak
designado,86,76,2.8933598034963943e-05,0.0052526359863305,Weak,Weak
rosado,26,17,2.892071140363555e-05,0.004075410094725248,Weak,Weak
